id,name,nationality,club
271956,Moha Moukhliss,Spain,FCB
271808,L. Sousa,England,ARS
277928,M. Berger,Netherlands,FEY
278095,J. Van Neck,Belgium,OLM
247507,P. Glatzel,Germany,LIV
270965,T. Schlieck,Germany,RBL
274066,J. Tauriainen,Finland,CHE
277908,D. Kochen,United States,FCB
259430,Marcelo Pitaluga,Brazil,LIV
277669,T. Hülsmann,Germany,BAY
271905,F. Bregante,Uruguay,LIV
277904,E. Beach,Wales,CHE
